"","x","y","dpt","monocle3","tscan","spatialpca","dpt_norm","monocle3_norm","tscan_norm","spatialpca_norm"
"117966175790617681388424450157727541211",-407.937016159296,-2724.44745675772,0.0807559129812164,320.539066306893,4897,21.5941325338254,0.539743144741409,0.689343977785491,0.849704963554321,0.786621186280083
"118072120182397545712465937728247812545",-335.140013098717,-2539.82190638781,0.00624066865936448,21.6518034287633,1210,NA,0.00173550850399167,0.102221450885109,0.209822978132593,NA
"11812860417726348663331445821261449884",-799.217016369104,-2544.1819062829,0.0546347262076497,197.880608420747,2248,18.185220770561,0.339118361679972,0.33547379382159,0.389968760846928,0.570210346787948
"118155962858003675572055644357291778244",540.669485077262,-3294.10595267564,0.0745054123637555,320.539096398817,4967,23.3979841278039,0.472405414786532,0.68951752863589,0.861853523082263,0.836649611521698
"118185282147817714717242039680669861740",-1443.03495427966,-2644.46735386997,0.038689624677611,197.880638512671,1826,19.95491157788,0.229607775078098,0.335647344671989,0.31673030197848,0.672920219821868
"11820942837647121178411105234055612792",-1322.15805237591,-2871.50480321944,0.0389385782008376,139.380800131041,5763,24.7129657552666,0.231863936133287,0.212946893439778,1,0.879476975554292
"118281244079437464243777283203149047094",-845.661915251613,-3827.45790427923,0.0485342655637178,139.288552359943,967,3.96888584897892,0.29798681013537,0.187955570982298,0.167650121485595,0.0278567367822627
"118330154847093326795231337294465914291",176.80299565196,-2632.25390416384,0.0342141878431877,161.511405168179,1752,20.5750865366864,0.178410274210344,0.291218326969802,0.303887539048941,0.704187985597878
"118332683946435458502421244299293386425",821.596533130109,-3136.55190646648,0.0889700726853305,238.271759274754,5003,24.0504016088447,0.673897952099965,0.484380423464075,0.868101353696633,0.857115785484177
"118411986583789995217662145428498723368",28.7959982156754,-3325.54290673137,0.08336980072266,248.821490574145,4174,17.9105666562167,0.571850052065255,0.507983339118362,0.724227698715724,0.549933674436233
"118505094508106898198141356403573366612",19.977898427844,-2645.76990383863,0.0981810370262649,320.539126490741,4358,20.3692687276327,0.93960430406109,0.689691079486289,0.75616105518917,0.689785863179837
"118644649887360392230697479816112894013",406.554548750818,-4195.51545504779,0.0903449300595346,0.00153468812996493,2383,NA,0.711037834085387,0.0175286358903159,0.413398125650816,NA
"118657082460931341640118499883874941323",-1521.9509523809,-2889.47480759919,0.0374551450825344,154.667772391654,1496,19.0481118820786,0.218500520652551,0.274036792780285,0.259458521346755,0.637293916998295
"118698657840345529725019603631458393913",554.675984740257,-3193.12290510535,0.0758980003660883,347.435809142353,5325,28.7953901905854,0.486983686220062,0.953661922943422,0.923984727525165,0.988819404964942
"118725253800186927319698251882971229640",-792.666116526723,-2986.25590527058,0.0979525187354268,280.988238967577,4384,19.2144023706647,0.933530024297119,0.624088858035404,0.760673377299549,0.64525298465037
"118844604385806061994507283566638714583",395.937949006259,-3908.65880713761,0.0955715067242835,340.580857546539,3385,14.5393506614561,0.860638667129469,0.917389795209997,0.587296077750781,0.317794201250711
"118943922665628166256935908902149556880",614.239033307135,-3718.78490689397,0.0923692704452575,264.440956240245,4106,14.170438079439,0.767094758764318,0.559875043387713,0.71242624088858,0.26075421641084
"118954084209318224117165748311664023260",-259.821014910936,-2657.86890354753,0.0982838602542792,309.264626709946,4550,20.7800758635983,0.941860465116279,0.666088163832003,0.78948281846581,0.728065188554103
