Cell_ID,Sample,Cell_Type,x,y
108963053942320530513304437737209438769,mouse1_slice221,65,-351.3919127076864,-3371.8679056167603
109033089397229420487678845983582065930,mouse1_slice221,201,-966.9571123331784,-2756.934905976057
109108529283953070917980179446156102701,mouse1_slice221,9,-339.8215629860759,-2855.699803599716
109136052292702907015192715816963110230,mouse1_slice221,173,-348.5470127761364,-3248.375003775954
109213989057564998022442151634123324346,mouse1_slice221,76,-787.1779666587711,-2720.316356857121
109332519556349799128755362376851552838,mouse1_slice221,101,-1594.0939554572103,-2698.852902561426
109357388349274590657691608690166104013,mouse1_slice221,59,349.11700013279915,-3261.4659034609795
10936906243408052107273205262323491921,mouse1_slice221,13,768.290084412694,-3247.295903801918
109429330235519114705904598363760442868,mouse1_slice221,208,-1133.6684520989656,-2639.393403992057
109434564400015177597866949091237804277,mouse1_slice221,162,-1322.1689523756504,-2965.545905768872
109443859517185795753289792966590958975,mouse1_slice221,288,-656.9979149788618,-3450.238903731108
109452138325876530197616369773914973012,mouse1_slice221,78,-756.712467391789,-3261.6839034557343
109511808389595375044814606169625975475,mouse1_slice221,83,-829.95501562953,-3096.781902611256
10952528468873553609920984762141749438,mouse1_slice221,38,684.1529864370823,-4012.306904643774
109529333819478469750192814464023362162,mouse1_slice221,14,338.05895039886235,-3694.710902661085
10958503390026178981195883587639150154,mouse1_slice221,241,-476.9340144991874,-2641.9549039304256
109643578599140759388881142465472935589,mouse1_slice221,56,-1213.9319549798963,-3422.443904399872
109740490602406411038205155511286649120,mouse1_slice221,18,502.24698600173,-2643.8079038858414
109791046662006173754564394199833139887,mouse1_slice221,55,29.221098205447205,-3444.788903862238
109878632213565928154461961446537960167,mouse1_slice221,236,791.4089838564396,-4054.8169036209583
110009712235917203233887122544637162179,mouse1_slice221,102,243.28754405230285,-3822.340354402363
110149693235366208176853796156957648729,mouse1_slice221,3,44.595547835528855,-4087.6259028315535
110229066901245972911585250045713331194,mouse1_slice221,3,-172.94801700115204,-3769.905905663967
110394268317294923269710214147927603665,mouse1_slice221,68,67.47599828243256,-3827.8939042687416
110432576962743159104214828109058942167,mouse1_slice221,160,275.5420019030571,-2840.8703539565204
110448259950575728710005277084257865023,mouse1_slice221,103,-33.60105028301478,-2836.504904061556
110533966255686300863264900880038793600,mouse1_slice221,78,-1483.2014533132317,-3043.480903893709
110616713030627900825629264949535857204,mouse1_slice221,236,-844.3539152830839,-3380.8059054017067
11073206269879885268769425742449174127,mouse1_slice221,71,-182.75801676511765,-3055.688903599977
110735817548696756114515700058399938147,mouse1_slice221,190,611.355983376503,-4322.049456815422
110766448862339847628796608277057381,mouse1_slice221,22,533.9550852388144,-2796.3929050266743
110782147021019289441555076297361311408,mouse1_slice221,181,217.5689946711064,-2821.849854414165
110855665538646659859532474613137973741,mouse1_slice221,0,507.1519858837128,-4102.662452469766
110872650881026285121123274977621218759,mouse1_slice221,231,-1268.3774536699057,-2449.257903754711
110913530671186741379612115827377282724,mouse1_slice221,216,-427.5570156872273,-3628.117354263365
110975668170335022396386001544567297225,mouse1_slice221,236,625.1935330435633,-3981.083855395019
110983773188839145183792794466647769730,mouse1_slice221,32,607.213983476162,-4357.485355962813
110991582455855323403335326340492977602,mouse1_slice221,25,-310.9420136809349,-3553.010906070471
