gene,estimate,pvalue
COL15A1,-0.0330283485870811,3.77801208586094e-23
COL16A1,0.0470045728468378,3.43828857663415e-45
COL17A1,0.045510684666976,1.80397840524445e-42
COL18A1,0.058974638271632,3.83009705028618e-70
COL1A1,-0.0760507546719652,1.64504874910166e-115
COL1A2,-0.113154513625019,3.98031318289179e-254
COL21A1,0.0590440760046332,2.64261881263822e-70
COL27A1,0.141816714098045,0
COL3A1,-0.123926568420844,8.959497441136e-305
COL4A1,0.178743502425651,0
COL4A2,0.208307713069958,0
COL4A5,0.222009986303997,0
COL5A1,-0.0426997775691663,1.37209933812102e-37
COL5A2,-0.00826028946162985,0.013221357064994
COL6A1,-0.0955272593662166,2.17854143284289e-181
COL6A2,-0.132006275548964,0
COL6A3,-0.12114426469837,3.06920363223995e-291
COL8A1,-0.0512428651247598,2.20839309603056e-53
COL9A1,0.0260071637316607,6.08001968194856e-15
COL9A2,0.0485553104446937,4.17388879760561e-48
COL9A3,0.0754518171023484,1.00615594599112e-113
COTL1,-0.058862718410554,6.95973760346143e-70
CPA3,-0.00901611893141602,0.00684119288505822
CPB1,0.0114563508658051,0.000589297799868213
CRIP1,-0.0600769974679257,1.00474749463778e-72
CRP,0.192287794218558,0
CRYAB,0.0764370917545197,1.13834927353815e-116
CSF1,0.0353450901994795,2.81798863045427e-26
CSF1R,-0.128686923395033,0
CSF2,0.0153902386706129,3.90003790809633e-06
CSF2RA,-0.0157811194813296,2.20238402171372e-06
CSF2RB,-0.0160202755512471,1.54244363677009e-06
CSF3,0.0674675230911423,2.88490515123891e-91
CSF3R,-0.110346969962086,1.06020489013625e-241
CSHL1,0.0545502335651665,2.89638338765534e-60
CSK,0.164872202419282,0
CST7,-0.0129525588530822,0.000102188070945233
CTLA4,-0.0293517795471472,1.29592069009375e-18
CTNNB1,0.272666151308526,0
CTSG,0.102831216326031,5.23419770476858e-210
CUZD1,0.0402432930668159,1.41374197864044e-33
CX3CL1,0.119586228926454,8.47602966165417e-284
CXCL10,-0.0109385773456067,0.00103377427710892
CXCL12,-0.0461256160118255,1.40350514485528e-43
CXCL14,0.118346396883425,6.01057760203583e-278
CXCL16,-0.199546549395348,0
CXCL17,-0.017590330331646,1.3153020957081e-07
CXCL2,-0.105471351058788,7.00630596941756e-221
CXCL3,-0.0995311359190987,8.22774204245743e-197
CXCL5,0.0217834799393986,6.36857353406676e-11
CXCL6,0.0136929244237436,4.00064797033868e-05
CXCL9,-0.05181129504541,1.55523415941864e-54
CXCR1,0.0215825541472272,9.51068586333682e-11
CXCR3,0.0103252141031048,0.00195375483439059
CXCR4,-0.2926042187954,0
CXCR5,0.00872362362916788,0.0088774709327368
CXCR6,-0.0243542991970222,2.74686532557776e-13
CYP19A1,0.0280137688294546,4.2970343031006e-17
CYP1B1,-0.0281928654813962,2.71423252085665e-17
CYSTM1,0.0500458655837923,5.35931852015707e-51
CYTOR,-0.0125156267044136,0.000173853388960304
DCN,-0.124429770444637,2.95550356974391e-307
DDC,0.0921170290176827,9.27161039898827e-169
DDIT3,0.0868859944401509,2.72005643575842e-150
DDR1,0.360131260664939,0
DDR2,0.022146057166794,3.06077821739176e-11
DDX58,0.0240508832718571,5.38523336078962e-13
DHRS2,0.0528876775389361,9.44272381936096e-57
DLL1,0.0209420965148766,3.33475953953238e-10
DMBT1,-0.108187008615155,2.33099487690126e-232
DNMT1,0.174931032015986,0
DNMT3A,0.181027547922279,0
DNTT,0.0275383560646172,1.43478451904482e-16
DPP4,-0.028955193187289,3.71965884687478e-18
DST,0.370072417669482,0
DUSP1,-0.331305242530669,0
DUSP2,0.0123000008713069,0.000224628096179854
DUSP4,-0.0602074281346055,4.93730889381834e-73
DUSP5,0.128200401867882,0
DUSP6,0.141623821667696,0
EFNA1,0.185843026955663,0
EFNA4,0.0965105580320314,4.07513981637833e-185
EFNA5,0.0876763422866941,5.181902957381e-153
EFNB1,0.136606695935753,0
EFNB2,0.102390529915861,3.20955109236785e-208
EFNB3,0.023792217242398,9.49849743011678e-13
EGF,0.0694027277894858,1.77274455580772e-96
EGFR,0.711074098596562,0
EIF5A,0.203691225303912,0
ELANE,0.0143870892212059,1.59104667262333e-05
ENG,-0.104991305366978,6.97372496318072e-219
ENTPD1,-0.0324055605963389,2.41211178578971e-22
EOMES,0.0129789076721645,9.89136545479277e-05
EPCAM,0.333084155305977,0
EPHA2,0.118179377307328,3.64997479338474e-277
EPHA3,0.0166035702155225,6.33699794832797e-07
EPHA4,0.0819957986454862,5.13899202432845e-134
EPHA7,0.126553197017517,7.66214789933855e-318
EPHB2,0.0812510879225833,1.27629736226517e-131
EPHB3,0.140321693132019,0
EPHB4,0.187748401255407,0
EPHB6,0.0957622551260834,2.82321482801362e-182
ERBB2,0.139050463821673,0
ERBB3,0.0760254559249535,1.95851442036555e-115
ESAM,-0.0554074481702954,4.0551574355461e-62
ESR1,0.0276930946243857,9.71218609752106e-17
ETS1,-0.143176228280888,0
ETV4,0.134344701170177,0
ETV5,0.375206437907036,0
EZH2,0.258804548043544,0
EZR,0.173134722084467,0
FABP5,0.0724818371029281,4.4794407215529e-105
FAS,0.0268977727282515,7.05526610401895e-16
FASLG,0.0100290466083385,0.00262687783059482
FASN,0.130017203380317,0
FCER1G,-0.227152189344409,0
FCGBP,0.0489053685082894,8.89831813381752e-49
FCGR3A,-0.215589950654388,0
FCRLA,0.0282699130567863,2.22551777859097e-17
FFAR2,0.0430600112813656,3.38133638018868e-38
FFAR3,0.0667306592175739,2.54440173473316e-89
FFAR4,0.0418705326137542,3.29914788961287e-36
FGF1,0.0531790963481628,2.32877874357789e-57
FGF12,0.207402531403503,0
FGF13,0.112695599382731,4.49577161415363e-252
FGF18,0.0168563256280657,4.27056099534304e-07
FGF2,0.0345981281932207,3.02714869801134e-25
FGF7,0.0180689499369882,5.94993649986737e-08
FGF9,0.0231595180449505,3.71222072243569e-12
FGFR1,0.106064074019185,2.32119316755215e-223
FGFR2,0.305717738003666,0
FGFR3,0.158000069466372,0
FGG,-0.125829451982685,3.26061613651098e-314
FGR,-0.0935570561543247,4.91128985745207e-174
FKBP11,0.198784118708005,0
FLT1,-0.055789166882431,5.93191579640824e-63
FLT3LG,0.0478221645713441,1.02514987846612e-46
FN1,-0.161385576060699,0
FOS,0.067793683961598,3.90982514370189e-92
FOXF1,-0.0200171810579298,1.91522587079287e-09
FOXP3,0.0166183313100151,6.19355815114299e-07
FYB1,-0.149369978010745,0
FYN,-0.0955613973941892,1.6195219840142e-181
FZD1,0.142093766409752,0
FZD3,0.115179395953442,2.75312959564408e-263
FZD4,0.0161856991736164,1.20213194479288e-06
FZD5,-0.0167876108485954,4.75686801768132e-07
FZD6,0.223265708941172,0
FZD7,0.191758549693419,0
FZD8,0.0388294566159828,2.25584937329576e-31
G6PC2,0.0143223688555081,1.73692480228056e-05
G6PD,0.328646412521982,0
GADD45B,-0.1793343297555,0
GAS6,-0.0780005424716509,2.00355676562874e-121
GATA3,0.0344827874415586,4.3482546919399e-25
GC,0.0134881573562515,5.20973442600809e-05
GCG,0.0248081366452521,9.88354896280525e-14
GDF10,0.0140969996294569,2.35083305579379e-05
GDF3,0.0234134953870325,2.15700266103993e-12
GDF6,0.0200764233528803,1.71622712911655e-09
GDF9,0.0253156959607067,3.08350395711207e-14
GDNF,0.0915892102049149,7.58890788747146e-167
GLUD1,0.155112641254154,0
GLUL,0.0856098120557532,5.94435019280457e-146
GNLY,0.106214708738602,5.41052645636308e-224
GPBAR1,0.0222955873425912,2.25491883537727e-11
GPER1,0.0803223885782898,1.15301417009865e-128
GPNMB,0.46844772888681,0
GPR183,-0.142366687501922,0
GPX3,-0.205075157187629,0
GSN,-0.0247724270043943,1.07184006729439e-13
GSTP1,0.370829471905718,0
GZMA,-0.0141459178373028,2.20218145640167e-05
GZMB,0.061186303982558,2.2715719091786e-75
GZMH,0.0697343383596205,2.19159109788816e-97
GZMK,-0.0289756303186383,3.52414522214814e-18
H2AZ1,0.250467619255975,0
H4C3,0.292435821846186,0
HAVCR2,-0.075454643370419,9.86889763947274e-114
HBA1,-0.00939483028964606,0.00483116742735696
HBB,-0.0114096461057293,0.000620521517109213
HCAR2,0.0963316787028587,1.95534164207316e-184
HCAR3,0.0844447982925255,4.77412844305846e-142
HCK,-0.0712944258056429,1.02600239416551e-101
HCST,0.0275526950238593,1.38395365073084e-16
HDAC1,0.188405831643419,0
HDAC11,0.0555186434692933,2.31961803861678e-62
HDAC3,0.133601502797141,0
HDAC4,0.136216857609634,0
HDAC5,0.13638025907319,0
HGF,-0.01543324124678,3.66477773705438e-06
HIF1A,0.0436800826241259,2.9522330564837e-39
HILPDA,0.121400857939792,1.78665512391706e-292
HLA-A,-0.19959508419194,0
HLA-B,-0.215688172656017,0
HLA-C,-0.24328856428224,0
HLA-DPA1,-0.504044305798603,0
HLA-DPB1,-0.427160108137679,0
HLA-DQA1,-0.46429740851975,0
HLA-DQB1,-0.43208144949713,0
HLA-DRA,-0.470748748304416,0
HLA-DRB1,-0.553652836553141,0
HLA-DRB5,-0.154784070052214,0
HLA-E,-0.256631275391439,0
HMGB2,0.198409951947472,0
HMGN2,0.0402439748671548,1.41022696964971e-33
HPGDS,0.0134009882610365,5.82320665124763e-05
HSD17B2,0.0209363304794567,3.37208501240463e-10
HSD3B2,0.025759059089074,1.09404601161905e-14
HSP90AA1,0.313246252520645,0
HSP90AB1,0.408057500925586,0
HSP90B1,0.345406416295961,0
HSPA1A,0.106801861229501,1.81638353178806e-226
HSPA1B,0.168335395846379,0
HSPB1,0.447899602205253,0
HTT,0.0824308881796011,2.001540038418e-135
IAPP,0.0325520354621455,1.5645529211638e-22
ICAM1,-0.0425216728232064,2.73063646345966e-37
ICAM2,-0.0221919250910751,2.78751640586167e-11
ICAM3,0.00903231330060187,0.0067418181058581
ICOS,-0.0285002808471311,1.22540901063527e-17
ICOSLG,0.0624369615990135,2.06690146514932e-78
IDO1,-0.0369867581045168,1.28097088384283e-28
IER3,0.0498205883015657,1.48489487489717e-50
IFI27,-0.21256254767692,0
IFIH1,0.0362328414547456,1.57137854480225e-27
IFIT1,0.0364448282107304,7.8051903463121e-28
IFITM1,-0.114185184534353,9.08255842205688e-259
IFITM3,-0.0769039778791811,4.43234026671933e-118
IFNA1,0.0189261301857275,1.3669349379803e-08
IFNAR1,0.061768838431744,8.86234600873876e-77
IFNAR2,0.0113762977070838,0.000643750582483568
IFNB1,0.014596041691404,1.19566564078655e-05
IFNG,0.0235456819690798,1.62238082972316e-12
IFNGR1,0.0798398902500466,3.83705713000513e-127
IFNGR2,0.0915139250782621,1.41949448204479e-166
IFNL2,0.0518605677535307,1.23400429089843e-54
IFNL3,0.0686705951902439,1.72855865560579e-94
IGF1,0.0628098980821302,2.4921870945871e-79
IGF1R,0.338095117871072,0
IGF2,0.0116835480081167,0.000457210549751867
IGF2R,0.0940552742277329,7.02241097947792e-176
IGFBP3,0.111915920318967,1.32130411730171e-248
IGFBP5,0.132199689440053,0
IGFBP7,-0.26176890667672,0
IGHA1,-0.0548508003724819,6.53317666396757e-61
IGHG1,-0.100171621415445,2.4455199581092e-199
IGHM,-0.0761728432624559,7.08388216254753e-116
IGKC,-0.120608125399084,1.14497541710181e-288
IL10,0.067738041904076,5.50210096989917e-92
IL10RA,-0.0761276942013743,9.675088144479e-116
IL10RB,0.0405450556873839,4.67832033823225e-34
IL11,0.12584251370922,2.80541191178276e-314
IL11RA,0.0798418545702712,3.7828584080642e-127
IL12A,0.0658659647360357,4.58334147743594e-87
IL12B,0.00918735165844593,0.00585411725918913
IL12RB1,-0.0103754493781827,0.00185671600289046
IL12RB2,0.0335448376410348,7.90912309111948e-24
IL13RA1,0.0141877258447304,2.08226871109743e-05
IL15,0.0472927989661798,1.00351586856526e-45
IL15RA,0.109896730571904,9.73462107896955e-240
IL16,-0.123537781584352,7.28753901877031e-303
IL17A,0.0295838887992856,6.94617593873452e-19
IL17B,0.0300942126779157,1.73359763645588e-19
IL17D,0.0530891750957256,3.58988896309372e-57
IL17RA,0.0943618589061711,5.08600924043755e-177
IL17RB,0.0417992674103171,4.32347752302574e-36
IL17RE,0.0941941431128022,2.14060016133807e-176
IL18R1,0.0399325657815734,4.37730158858586e-33
IL1A,0.0426696774903069,1.54164232583066e-37
IL1B,0.0330231242439567,3.83777886561221e-23
IL1R1,0.273415403492229,0
IL1R2,0.162572303938182,0
IL1RAP,0.27473465888427,0
IL1RL1,0.00878785522690606,0.00838885809240173
IL1RN,0.0144230750111875,1.51506660280862e-05
IL20,0.119998636056096,9.29336784475618e-286
IL20RA,0.104183683532599,1.52703644864659e-215
IL22RA1,0.0708544019881009,1.74611011144114e-100
IL23A,0.026471630479892,1.99481365057564e-15
IL24,-0.0190374753246843,1.12388539115251e-08
IL27RA,0.0900773425046937,1.98651018586393e-161
IL2RA,-0.0947105398630282,2.5418122136298e-178
IL2RB,0.0117675522243235,0.000415797714680584
IL2RG,-0.117288073264562,5.29152141829529e-273
IL32,-0.124293536840812,1.3916182055547e-306
IL33,-0.0231341833928393,3.91757759451245e-12
IL34,0.0504380654689533,8.99157406174942e-52
IL36G,0.0166986021541283,5.46668458166489e-07
IL4R,0.0259727836466548,6.59781818052206e-15
IL6,0.0265574622109839,1.62012761272771e-15
IL6R,0.0166010494000558,6.3618117032242e-07
IL6ST,-0.0154933640811077,3.35855140127181e-06
IL7,0.0300292697301042,2.07118723954146e-19
IL7R,-0.121974159023214,3.04108272708085e-295
INHA,0.062714782355829,4.27978322254093e-79
INHBA,0.00683999768241897,0.040197875832006
INHBB,0.0928070855002385,2.81381254832122e-171
INS,0.0589648619730368,4.03540170454931e-70
INSR,0.0202596038003639,1.22012692868427e-09
IRF3,0.0792092822999507,3.62623831434787e-125
IRF4,-0.0178447853474132,8.64868812083882e-08
ITGA1,-0.0265263388681146,1.74720922072583e-15
ITGA2,0.259323369142602,0
ITGA3,0.0626250383051525,7.12316715022596e-79
ITGA5,-0.0582265322499552,2.03066672791442e-68
ITGA6,0.253458066878686,0
ITGA9,0.0172286281483985,2.36381705345646e-07
ITGAE,-0.0132707511965606,6.86859327875092e-05
ITGAL,-0.0521497192183917,3.16043111280452e-55
ITGAM,-0.0599384458921254,2.13354485032998e-72
ITGAV,0.33317152499007,0
ITGAX,-0.227041077270774,0
ITGB1,0.0729348749699936,2.26245225284955e-106
ITGB2,-0.28741289948197,0
ITGB4,0.221017948148708,0
ITGB5,-0.0189362494107839,1.34288885363416e-08
ITGB6,-0.0403190154594907,1.07197720570934e-33
ITGB8,0.310377106250287,0
ITK,-0.0428922446498058,6.50148876975902e-38
ITM2A,-0.0343679407575642,6.22886196465322e-25
JAG1,0.495700715048377,0
JAK1,0.0551379665585794,1.56282919533174e-61
JAK2,0.0125941102367599,0.000158216297621728
JCHAIN,-0.0795097911167577,4.16914338999724e-126
JUN,-0.00859088783531782,0.00996849846310676
JUNB,-0.0672163703494312,1.33545816339603e-90
KDR,-0.0172333728517754,2.34588302929641e-07
KIT,-0.00708522106430268,0.0335642378083359
KITLG,0.0372666062180518,4.9862691135674e-29
KLF2,-0.0155975438796498,2.88512568065735e-06
KLK3,0.0237314313652488,1.08441812843989e-12
KLRB1,-0.0139370820848723,2.9062735987315e-05
KLRK1,-0.0110025302338031,0.000965627235419857
KRAS,0.216690356140521,0
KRT1,0.281548485787717,0
KRT13,0.367682504005199,0
KRT14,0.285990032473195,0
KRT15,0.50300834919051,0
KRT16,0.295894892772037,0
KRT17,0.650556078334571,0
KRT18,0.170815324813029,0
KRT19,0.626261352803556,0
KRT20,0.0422215479672879,8.65170977310491e-37
KRT23,0.0560937137460095,1.26779351126193e-63
KRT24,0.00866591766720167,0.00933795682961315
KRT4,0.0322228818383655,4.12769111545662e-22
KRT5,0.632243233668822,0
KRT6A,0.612104792791034,0
KRT6B,0.324623764002029,0
KRT6C,0.408167089622697,0
KRT7,-0.0935021949792552,7.82920051785047e-174
KRT8,0.230845245345456,0
KRT80,0.0484783947654166,5.85305595198267e-48
KRT86,0.0301419890793681,1.52054130867052e-19
LAG3,0.0414888196855714,1.39662100179927e-35
LAIR1,-0.136747352616762,0
LAMP2,0.295918712268523,0
LAMP3,-0.00986591099098093,0.00308245633783833
LCN2,0.0664300234381372,1.5601173383404e-88
LDLR,0.155181752574287,0
LEFTY1,0.0404098851173875,7.68536220576775e-34
LEFTY2,0.0426578693719923,1.61370202672102e-37
LEP,0.0238540413825556,8.29821071728785e-13
LGALS1,-0.303800954681176,0
LGALS3,0.0478947442286796,7.4833349871855e-47
LGALS3BP,0.19145743290188,0
LGALS9,-0.0388229928392429,2.30782322480252e-31
LIF,0.0732212997029174,3.39315914794525e-107
LIFR,0.0620154054353757,2.22450119721577e-77
LINC02446,0.00818109324709249,0.0141279322538814
LMNA,0.227634621679953,0
LPAR5,0.0596345003786296,1.10637804039824e-71
LTB,0.0152001557471213,5.12478813692772e-06
LTBR,0.35972147538513,0
LTF,-0.15885324117261,0
LUM,-0.130316137729784,0
LY6D,0.0916668545474091,3.97617044077958e-167
LY75,0.104205446185167,1.24217382891017e-215
LYN,-0.0538037288344608,1.12918192715126e-58
LYZ,-0.442999446706771,0
MALAT1,0.270494890483688,0
MAML2,0.079663072753396,1.37878371813999e-126
MAP1LC3B,0.0104464920762735,0.00172702971551855
MAPK13,0.0803541086519607,9.15042505288533e-129
MAPK14,0.149005624096239,0
MARCO,-0.0764401365944288,1.11457797407436e-116
MECOM,0.0322467087659817,3.84901728424721e-22
MEG3,-0.00780476463486051,0.0192266406655042
MERTK,0.0629691554170076,1.00594652040124e-79
MET,0.0973271783110012,3.05180783813379e-188
MGP,-0.115904133844577,1.3207189006975e-266
MIF,0.479695467895764,0
MKI67,0.13664867492505,0
MMP10,0.0344842552522855,4.32829330831186e-25
MMP12,-0.0119869177967417,0.000323576317251294
MMP14,0.0680070195240484,1.05234369049058e-92
MMP16,0.0246196303208167,1.51448336158558e-13
MMP19,-0.0756726962629744,2.21560655609771e-114
MMP2,-0.0796972473605952,1.07703188081333e-126
MMP3,0.0207756350249874,4.59311018736871e-10
